first_name,web_name,element_type,now_cost,total_points,name,ep_next,minutes
Max,Kilman,2,41,21,Wolves,7.5,180
Benjamin,Chilwell,2,57,21,Chelsea,7.0,180
Alexis,Mac Allister,3,53,9,Brighton,3.5,12
Emiliano,Martínez,1,48,31,Aston Villa,6.0,360
Scott,Dann,2,45,7,Crystal Palace,0.5,90
Jorge Luiz,Jorginho,3,52,32,Chelsea,6.7,342
Ezri,Konsa,2,46,28,Aston Villa,4.3,360
João Pedro Cavaco,Cancelo,2,54,8,Man City,3.7,90
Conor,Hourihane,3,60,17,Aston Villa,4.7,137
Jack,Grealish,3,72,38,Aston Villa,11.7,360
John,McGinn,3,55,27,Aston Villa,8.3,360
Edouard,Mendy,1,50,6,Chelsea,2.0,90
Dominic,Calvert-Lewin,4,77,43,Everton,6.5,428
Harry,Kane,4,108,60,Spurs,12.8,443
Callum,Wilson,4,65,36,Newcastle,8.2,444
