home,away,status
Manchester City FC,Aston Villa FC,POSTPONED
Burnley FC,Manchester United FC,POSTPONED
Fulham FC,Arsenal FC,FINISHED
Crystal Palace FC,Southampton FC,FINISHED
Liverpool FC,Leeds United FC,FINISHED
West Ham United FC,Newcastle United FC,FINISHED
West Bromwich Albion FC,Leicester City FC,FINISHED
Tottenham Hotspur FC,Everton FC,FINISHED
Sheffield United FC,Wolverhampton Wanderers FC,FINISHED
Brighton & Hove Albion FC,Chelsea FC,FINISHED
Everton FC,West Bromwich Albion FC,FINISHED
Leeds United FC,Fulham FC,FINISHED
Manchester United FC,Crystal Palace FC,FINISHED
Arsenal FC,West Ham United FC,FINISHED
Southampton FC,Tottenham Hotspur FC,FINISHED
Newcastle United FC,Brighton & Hove Albion FC,FINISHED
Chelsea FC,Liverpool FC,FINISHED
Leicester City FC,Burnley FC,FINISHED
Aston Villa FC,Sheffield United FC,FINISHED
Wolverhampton Wanderers FC,Manchester City FC,FINISHED
Brighton & Hove Albion FC,Manchester United FC,FINISHED
Crystal Palace FC,Everton FC,FINISHED
West Bromwich Albion FC,Chelsea FC,FINISHED
Burnley FC,Southampton FC,FINISHED
Sheffield United FC,Leeds United FC,FINISHED
Tottenham Hotspur FC,Newcastle United FC,FINISHED
Manchester City FC,Leicester City FC,FINISHED
West Ham United FC,Wolverhampton Wanderers FC,FINISHED
Fulham FC,Aston Villa FC,FINISHED
Liverpool FC,Arsenal FC,FINISHED
Chelsea FC,Crystal Palace FC,FINISHED
Everton FC,Brighton & Hove Albion FC,FINISHED
Leeds United FC,Manchester City FC,FINISHED
Newcastle United FC,Burnley FC,FINISHED
Leicester City FC,West Ham United FC,FINISHED
Southampton FC,West Bromwich Albion FC,FINISHED
Wolverhampton Wanderers FC,Fulham FC,FINISHED
Arsenal FC,Sheffield United FC,FINISHED
Manchester United FC,Tottenham Hotspur FC,FINISHED
Aston Villa FC,Liverpool FC,FINISHED
Everton FC,Liverpool FC,SCHEDULED
Chelsea FC,Southampton FC,SCHEDULED
Manchester City FC,Arsenal FC,SCHEDULED
Newcastle United FC,Manchester United FC,SCHEDULED
Sheffield United FC,Fulham FC,SCHEDULED
Crystal Palace FC,Brighton & Hove Albion FC,SCHEDULED
Tottenham Hotspur FC,West Ham United FC,SCHEDULED
Leicester City FC,Aston Villa FC,SCHEDULED
West Bromwich Albion FC,Burnley FC,SCHEDULED
Leeds United FC,Wolverhampton Wanderers FC,SCHEDULED
Aston Villa FC,Leeds United FC,SCHEDULED
West Ham United FC,Manchester City FC,SCHEDULED
Fulham FC,Crystal Palace FC,SCHEDULED
Manchester United FC,Chelsea FC,SCHEDULED
Liverpool FC,Sheffield United FC,SCHEDULED
Southampton FC,Everton FC,SCHEDULED
Wolverhampton Wanderers FC,Newcastle United FC,SCHEDULED
Arsenal FC,Leicester City FC,SCHEDULED
Brighton & Hove Albion FC,West Bromwich Albion FC,SCHEDULED
Burnley FC,Tottenham Hotspur FC,SCHEDULED
Wolverhampton Wanderers FC,Crystal Palace FC,SCHEDULED
Sheffield United FC,Manchester City FC,SCHEDULED
Burnley FC,Chelsea FC,SCHEDULED
Liverpool FC,West Ham United FC,SCHEDULED
Aston Villa FC,Southampton FC,SCHEDULED
Newcastle United FC,Everton FC,SCHEDULED
Manchester United FC,Arsenal FC,SCHEDULED
Tottenham Hotspur FC,Brighton & Hove Albion FC,SCHEDULED
Fulham FC,West Bromwich Albion FC,SCHEDULED
Leeds United FC,Leicester City FC,SCHEDULED
Arsenal FC,Aston Villa FC,SCHEDULED
Leicester City FC,Wolverhampton Wanderers FC,SCHEDULED
Manchester City FC,Liverpool FC,SCHEDULED
Chelsea FC,Sheffield United FC,SCHEDULED
Everton FC,Manchester United FC,SCHEDULED
West Bromwich Albion FC,Tottenham Hotspur FC,SCHEDULED
West Ham United FC,Fulham FC,SCHEDULED
Southampton FC,Newcastle United FC,SCHEDULED
Crystal Palace FC,Leeds United FC,SCHEDULED
Brighton & Hove Albion FC,Burnley FC,SCHEDULED
Wolverhampton Wanderers FC,Southampton FC,SCHEDULED
Fulham FC,Everton FC,SCHEDULED
Aston Villa FC,Brighton & Hove Albion FC,SCHEDULED
Liverpool FC,Leicester City FC,SCHEDULED
Newcastle United FC,Chelsea FC,SCHEDULED
Tottenham Hotspur FC,Manchester City FC,SCHEDULED
Manchester United FC,West Bromwich Albion FC,SCHEDULED
Sheffield United FC,West Ham United FC,SCHEDULED
Burnley FC,Crystal Palace FC,SCHEDULED
Leeds United FC,Arsenal FC,SCHEDULED
Arsenal FC,Wolverhampton Wanderers FC,SCHEDULED
Leicester City FC,Fulham FC,SCHEDULED
Manchester City FC,Burnley FC,SCHEDULED
Chelsea FC,Tottenham Hotspur FC,SCHEDULED
Everton FC,Leeds United FC,SCHEDULED
West Bromwich Albion FC,Sheffield United FC,SCHEDULED
West Ham United FC,Aston Villa FC,SCHEDULED
Southampton FC,Manchester United FC,SCHEDULED
Crystal Palace FC,Newcastle United FC,SCHEDULED
Brighton & Hove Albion FC,Liverpool FC,SCHEDULED
Tottenham Hotspur FC,Arsenal FC,SCHEDULED
Sheffield United FC,Leicester City FC,SCHEDULED
Aston Villa FC,Newcastle United FC,SCHEDULED
Liverpool FC,Wolverhampton Wanderers FC,SCHEDULED
Manchester City FC,Fulham FC,SCHEDULED
Chelsea FC,Leeds United FC,SCHEDULED
West Bromwich Albion FC,Crystal Palace FC,SCHEDULED
Burnley FC,Everton FC,SCHEDULED
West Ham United FC,Manchester United FC,SCHEDULED
Brighton & Hove Albion FC,Southampton FC,SCHEDULED
Manchester United FC,Manchester City FC,SCHEDULED
Leeds United FC,West Ham United FC,SCHEDULED
Southampton FC,Sheffield United FC,SCHEDULED
Crystal Palace FC,Tottenham Hotspur FC,SCHEDULED
Wolverhampton Wanderers FC,Aston Villa FC,SCHEDULED
Fulham FC,Liverpool FC,SCHEDULED
Newcastle United FC,West Bromwich Albion FC,SCHEDULED
Everton FC,Chelsea FC,SCHEDULED
Leicester City FC,Brighton & Hove Albion FC,SCHEDULED
Arsenal FC,Burnley FC,SCHEDULED
Fulham FC,Brighton & Hove Albion FC,SCHEDULED
Aston Villa FC,Burnley FC,SCHEDULED
Arsenal FC,Southampton FC,SCHEDULED
